company Urls,Company Name,Linkedin Handler,Twitter Handler,Facebook Handler,Instagram Handler,Youtube Handler
https://iocl.com,Indian Oil Corporation Ltd,https://www.linkedin.com/company/indian-oil-corp-limited,NA,https://www.facebook.com/IndianOilCorpLimited,https://www.instagram.com/indianoilcorp,https://www.youtube.com/channel/UC5ho18VZHwEFSahW0Q_o-6g/feed
https://www.ril.com,Reliance Industries Limited,https://www.linkedin.com/company/reliance,https://twitter.com/RIL_Updates,https://www.facebook.com/RelianceIndustriesLimited,NA,https://www.youtube.com/user/flameoftruth2014
https://ongcindia.com,ONGC,https://www.linkedin.com/company/ongc/,https://twitter.com/ONGC_,https://www.facebook.com/ONGCLimited/,https://www.instagram.com/ongcofficial/,https://www.youtube.com/c/ONGCLtd1/
https://www.onlinesbi.sbi,State Bank of India,https://www.linkedin.com/company/state-bank-of-india/,https://twitter.com/TheOfficialSBI,https://www.facebook.com/StateBankofIndia,NA,NA
https://www.tatamotors.com,Tata Motors,https://www.linkedin.com/company/tata-motors/,https://twitter.com/TataMotors,https://www.facebook.com/TataMotorsGroup/,NA,https://www.youtube.com/embed/K2od1JXvHh4
https://www.bharatpetroleum.in,Bharat Petroleum,https://www.linkedin.com/company/bpcl?trk=tyah,https://twitter.com/bpclimited,https://www.facebook.com/BharatPetroleumcorporation,https://www.instagram.com/bpclimited/,https://www.youtube.com/user/bpclbrand
https://hindustanpetroleum.com,Hindustan Petroleum,NA,https://twitter.com/HPCL,https://www.facebook.com/hpcl,https://www.instagram.com/hpcl/,https://www.youtube.com/hindustanpetroleum74/
http://www.rajeshindia.com,Rajesh Exports,NA,https://twitter.com/rajesh_exports,https://www.facebook.com/Rajesh-Exports-Limited-1574458326153705/,NA,https://www.youtube.com/channel/UCWEEG-JPwhjbHxikjRZiljg/feed
https://www.tatasteel.com,Tata Steel,https://www.linkedin.com/company/tatasteelltd,https://twitter.com/Tatasteelltd,https://www.facebook.com/TataSteelLtd/,https://www.instagram.com/tatasteelltd/,https://www.youtube.com/user/Thetatasteel/
https://www.coalindia.in,Coal India,https://www.linkedin.com/company/coalindialtd/,https://twitter.com/CoalIndiaHQ,https://www.facebook.com/coalindiaHQ,https://www.instagram.com/coalindia.hq,NA
https://www.tcs.com,Tata Consultancy Services,https://www.linkedin.com/company/tata-consultancy-services/,https://twitter.com/TCS,https://www.facebook.com/TataConsultancyServices,https://www.instagram.com/tcsglobal/,https://www.youtube.com/user/TCSGlobal
https://www.larsentoubro.com,Larsen & Toubro,https://www.linkedin.com/company/larsen-&-toubro-limited?trk=nmp_rec_act_company_photo,https://twitter.com/larsentoubro,NA,NA,https://www.youtube.com/LarsenToubroGroup
https://www.hindalco.com,Hindalco,NA,NA,https://www.facebook.com/HindalcoIndustries/,https://www.instagram.com/hindalcoworld/,https://www.youtube.com/@hindalcoindustries
https://www.icicibank.com,ICICI Bank,NA,https://twitter.com/icicibank,https://www.facebook.com/icicibank,NA,https://www.youtube.com/user/icicibank
https://www.vedantaresources.com,Vedanta Resources,https://www.linkedin.com/company/vedantaresources/,https://twitter.com/Vedanta_Group,https://www.facebook.com/TheVedantaGroup,https://www.instagram.com/vedanta_group/,https://www.youtube.com/user/thevedantagroup/
https://www.hdfcbank.com,HDFC Bank,https://www.linkedin.com/company/164151/,NA,NA,https://www.instagram.com/hdfcbank/,https://www.youtube.com/hdfcbank
https://www.mahindra.com,Mahindra,https://www.linkedin.com/company/mahindragroup/,https://twitter.com/mahindrarise/status/1711225306957377666,NA,NA,https://www.youtube.com/watch?v=4b3WTp5-_AQ
https://www.ntpc.co.in,NTPC Limited,https://www.linkedin.com/company/10898?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428039833739%2Ctas%3Antpc,https://twitter.com/ntpclimited?ref_src=twsrc%5Etfw,https://www.facebook.com/ntpc1,https://www.instagram.com/ntpclimited/,https://www.youtube.com/user/ntpcltd1
https://www.airtel.in,Bharti Airtel,https://www.linkedin.com/company/airtel,https://twitter.com/airtelindia,https://www.facebook.com/AirtelIndia,https://www.instagram.com/airtelindia/,https://www.youtube.com/user/INAirtel
https://www.marutisuzuki.com,Maruti Suzuki,NA,https://twitter.com/Maruti_Corp,https://www.facebook.com/MSArenaOfficial,NA,NA
https://www.infosys.com,Infosys,https://www.linkedin.com/company/infosys,https://twitter.com/Infosys,https://www.facebook.com/Infosys,NA,https://www.youtube.com/user/Infosys
https://www.nayaraenergy.com,Nayara Energy,https://www.linkedin.com/company/nayaraenergy/,NA,https://www.facebook.com/NayaraEnergy/,https://www.instagram.com/nayaraenergyofficial/,https://www.youtube.com/NayaraEnergy/
https://www.hdfcbank.com,HDFC Bank,https://www.linkedin.com/company/164151/,NA,NA,https://www.instagram.com/hdfcbank/,https://www.youtube.com/hdfcbank
https://www.jsw.in,JSW Group,https://www.linkedin.com/company/jsw,https://twitter.com/jswsteel,https://www.facebook.com/JSWSteelOfficial,NA,https://www.youtube.com/channel/UCMauB1IhqTxH982vZmdJoVw
